Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,First seen
school bags for girls,us,7.0,1000.0,,0.49,school bags for girls,########,"Shopping results,Thumbnail,Discussions",35000.0,500.0,
school book bags,us,19.0,900.0,,0.6,backpacks for school,########,"Shopping results,Thumbnail,Image pack,Discussions,Videos",1400.0,10000.0,
bags for school,us,16.0,700.0,,0.38,school bags,########,"Shopping results,Thumbnail,Discussions,Image pack",5400.0,450.0,
cute tote bags for school,us,6.0,600.0,,,tote bags for school,########,"Image pack,Thumbnail",700.0,1700.0,
kids school bags,us,25.0,500.0,,0.91,pottery barn backpacks,########,"Shopping results,Thumbnail,Discussions",7500.0,21000.0,
school bags for kids,us,19.0,500.0,,1.23,kids backpacks,########,"Shopping results,Thumbnail,Discussions",5000.0,2400.0,
school bags for college,us,7.0,250.0,,1.0,college backpacks,########,"Shopping results,Thumbnail,Image pack,Discussions",450.0,3000.0,
school bags for high school,us,14.0,150.0,,,high school backpacks,########,"Shopping results,Thumbnail,Discussions,Videos,Bottom ads,Paid sitelinks",1200.0,1400.0,
pottery barn school bags,us,9.0,150.0,,,pottery barn backpacks,########,"Thumbnail,Shopping results,People also ask",300.0,19000.0,
back to school book bags,us,10.0,150.0,,,back to school backpacks,########,"Thumbnail,Discussions,Shopping results,Videos",250.0,400.0,
girls' book bags for school,us,6.0,150.0,,,backpacks for girls,########,"Shopping results,Thumbnail,Discussions",150.0,7300.0,
